"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-10-18 21:06:17",1760821577178,"cuidarte-admin-audit.vercel.app/favicon.ico","GET","",-1,"p7xwq-1760821577111-04ea15d4e751","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 OPR/122.0.0.0","info","production","main","","lambda","/api","cuidarte-admin-audit.vercel.app","cuidarte-admin-audit.vercel.app","dpl_5VJMx65fBNbTfXaWfx6ewnhTgeHZ",-1,"iad1",-1,-1,"[32minfo[39m: Request completed {""contentLength"":150,""duration"":""12ms"",""environment"":""production"",""method"":""GET"",""requestId"":""199ed47f-6086-4fc1-83cb-8d32a7692239"",""service"":""ms-admin-audit"",""statusCode"":404,""timestamp"":""2025-10-18 21:06:17.177"",""url"":""/favicon.ico"",""version"":""1.0.0""}","prj_3GTZIC1Uj56fJIRe5itAtAIyuMgY","","","01K7WJA1D4MEJEXT3FXRC164CZ","",-1
"2025-10-18 21:06:17",1760821577177,"cuidarte-admin-audit.vercel.app/favicon.ico","GET","",-1,"p7xwq-1760821577111-04ea15d4e751","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 OPR/122.0.0.0","info","production","main","","lambda","/api","cuidarte-admin-audit.vercel.app","cuidarte-admin-audit.vercel.app","dpl_5VJMx65fBNbTfXaWfx6ewnhTgeHZ",-1,"iad1",-1,-1,"[32minfo[39m: Request started {""environment"":""production"",""ip"":""127.0.0.1"",""method"":""GET"",""requestId"":""199ed47f-6086-4fc1-83cb-8d32a7692239"",""service"":""ms-admin-audit"",""timestamp"":""2025-10-18 21:06:17.165"",""url"":""/favicon.ico"",""userAgent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 OPR/122.0.0.0"",""version"":""1.0.0""}","prj_3GTZIC1Uj56fJIRe5itAtAIyuMgY","","","01K7WJA1D4MEJEXT3FXRC164CZ","",-1
"2025-10-18 21:06:17",1760821577124,"cuidarte-admin-audit.vercel.app/favicon.ico","GET","",404,"p7xwq-1760821577111-04ea15d4e751","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 OPR/122.0.0.0","warning","production","main","","lambda","/api","cuidarte-admin-audit.vercel.app","cuidarte-admin-audit.vercel.app","dpl_5VJMx65fBNbTfXaWfx6ewnhTgeHZ",45,"iad1",132,2048,"","prj_3GTZIC1Uj56fJIRe5itAtAIyuMgY","","","01K7WJA1D4MEJEXT3FXRC164CZ","GbYEuOtA7VH2",1
"2025-10-18 21:06:16",1760821576703,"cuidarte-admin-audit.vercel.app/","GET","",-1,"gtzwf-1760821576295-24f82e48d1b0","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 OPR/122.0.0.0","error","production","main","","lambda","/","cuidarte-admin-audit.vercel.app","cuidarte-admin-audit.vercel.app","dpl_5VJMx65fBNbTfXaWfx6ewnhTgeHZ",-1,"iad1",-1,-1,"Cannot find module '/var/task/dist/utils/logger'
Require stack:
- /var/task/src/index.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_3GTZIC1Uj56fJIRe5itAtAIyuMgY","","","01K7WJA0N9NWR8S5YR5D7AHME0","",-1
"2025-10-18 21:06:16",1760821576361,"cuidarte-admin-audit.vercel.app/","GET","",500,"gtzwf-1760821576295-24f82e48d1b0","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 OPR/122.0.0.0","error","production","main","","lambda","/","cuidarte-admin-audit.vercel.app","cuidarte-admin-audit.vercel.app","dpl_5VJMx65fBNbTfXaWfx6ewnhTgeHZ",327,"iad1",98,2048,"","prj_3GTZIC1Uj56fJIRe5itAtAIyuMgY","","","01K7WJA0N9NWR8S5YR5D7AHME0","",1
"2025-10-18 21:05:36",1760821536586,"cuidarte-admin-audit-ghgkouf73.vercel.app/favicon.ico","GET","",-1,"nw52k-1760821536545-b290d8ae950e","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 OPR/122.0.0.0","info","production","main","","lambda","/api","cuidarte-admin-audit-ghgkouf73.vercel.app","cuidarte-admin-audit-ghgkouf73.vercel.app","dpl_5VJMx65fBNbTfXaWfx6ewnhTgeHZ",-1,"iad1",-1,-1,"[32minfo[39m: Request completed {""contentLength"":150,""duration"":""1ms"",""environment"":""production"",""method"":""GET"",""requestId"":""969c9590-dcf4-4540-bd82-64b2fc853a35"",""service"":""ms-admin-audit"",""statusCode"":404,""timestamp"":""2025-10-18 21:05:36.584"",""url"":""/favicon.ico"",""version"":""1.0.0""}","prj_3GTZIC1Uj56fJIRe5itAtAIyuMgY","","","01K7WJ8SSTRN22BY5SR7ZDW0N1","",-1
"2025-10-18 21:05:36",1760821536584,"cuidarte-admin-audit-ghgkouf73.vercel.app/favicon.ico","GET","",-1,"nw52k-1760821536545-b290d8ae950e","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 OPR/122.0.0.0","info","production","main","","lambda","/api","cuidarte-admin-audit-ghgkouf73.vercel.app","cuidarte-admin-audit-ghgkouf73.vercel.app","dpl_5VJMx65fBNbTfXaWfx6ewnhTgeHZ",-1,"iad1",-1,-1,"[32minfo[39m: Request started {""environment"":""production"",""ip"":""127.0.0.1"",""method"":""GET"",""requestId"":""969c9590-dcf4-4540-bd82-64b2fc853a35"",""service"":""ms-admin-audit"",""timestamp"":""2025-10-18 21:05:36.583"",""url"":""/favicon.ico"",""userAgent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 OPR/122.0.0.0"",""version"":""1.0.0""}","prj_3GTZIC1Uj56fJIRe5itAtAIyuMgY","","","01K7WJ8SSTRN22BY5SR7ZDW0N1","",-1
"2025-10-18 21:05:36",1760821536570,"cuidarte-admin-audit-ghgkouf73.vercel.app/favicon.ico","GET","",404,"nw52k-1760821536545-b290d8ae950e","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 OPR/122.0.0.0","warning","production","main","","lambda","/api","cuidarte-admin-audit-ghgkouf73.vercel.app","cuidarte-admin-audit-ghgkouf73.vercel.app","dpl_5VJMx65fBNbTfXaWfx6ewnhTgeHZ",9,"iad1",131,2048,"","prj_3GTZIC1Uj56fJIRe5itAtAIyuMgY","","","01K7WJ8SSTRN22BY5SR7ZDW0N1","GbYEuOtA7VH2",1
"2025-10-18 21:05:36",1760821536377,"cuidarte-admin-audit-ghgkouf73.vercel.app/api/v1/health","GET","",-1,"7rcg2-1760821536218-b645b68f85eb","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 OPR/122.0.0.0","info","production","main","","lambda","/api","cuidarte-admin-audit-ghgkouf73.vercel.app","cuidarte-admin-audit-ghgkouf73.vercel.app","dpl_5VJMx65fBNbTfXaWfx6ewnhTgeHZ",-1,"iad1",-1,-1,"[32minfo[39m: Request completed {""contentLength"":104,""duration"":""2ms"",""environment"":""production"",""method"":""GET"",""requestId"":""42d571ef-c1ad-4509-aa4a-ebaac6638f08"",""service"":""ms-admin-audit"",""statusCode"":200,""timestamp"":""2025-10-18 21:05:36.376"",""url"":""/health"",""version"":""1.0.0""}","prj_3GTZIC1Uj56fJIRe5itAtAIyuMgY","","","01K7WJ8SG831EMBJE810AAZ11T","",-1
"2025-10-18 21:05:36",1760821536375,"cuidarte-admin-audit-ghgkouf73.vercel.app/api/v1/health","GET","",-1,"7rcg2-1760821536218-b645b68f85eb","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 OPR/122.0.0.0","info","production","main","","lambda","/api","cuidarte-admin-audit-ghgkouf73.vercel.app","cuidarte-admin-audit-ghgkouf73.vercel.app","dpl_5VJMx65fBNbTfXaWfx6ewnhTgeHZ",-1,"iad1",-1,-1,"[32minfo[39m: Request started {""environment"":""production"",""ip"":""127.0.0.1"",""method"":""GET"",""requestId"":""42d571ef-c1ad-4509-aa4a-ebaac6638f08"",""service"":""ms-admin-audit"",""timestamp"":""2025-10-18 21:05:36.374"",""url"":""/api/v1/health"",""userAgent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 OPR/122.0.0.0"",""version"":""1.0.0""}","prj_3GTZIC1Uj56fJIRe5itAtAIyuMgY","","","01K7WJ8SG831EMBJE810AAZ11T","",-1
